pID,condition,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,actuallyEstimated
35,uniform,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.1796,0.6305,0.154,0.0242,35,female,1,1
36,uniform,0.0203,0.0203,0.0438,0.0824,0.0203,0.4934,0.0461,0.0687,0.164,0.0203,0.0203,50,female,1,1
37,uniform,0.1327,0.0741,0.1435,0.0494,0.0571,0.0694,0.0849,0.1142,0.0802,0.0725,0.1219,42,female,1,0
38,uniform,0.016,0.016,0.016,0.0585,0.1547,0.4133,0.2677,0.016,0.0335,0.0077,0.0006,20,female,1,1
39,uniform,0.0241,0.0244,0.0224,0.0167,0.024,0.0763,0.0996,0.166,0.298,0.1113,0.1372,32,female,0,1
40,uniform,0,0,0,0.0133,0.0841,0.1107,0.1306,0.2047,0.2746,0.182,0,21,female,1,1
41,uniform,0.0047,0.1053,0.1181,0.0267,0.0011,0.1035,0.0633,0,0.4728,0.0084,0.0962,47,female,1,1
42,uniform,0.0138,0,0,0.0238,0,0,0.0389,0.0623,0.0355,0.0255,0.8002,51,female,1,1
43,uniform,0,0.7948,0.004,0,0.0885,0,0.0523,0,0,0.0141,0.0463,79,female,1,1
44,uniform,0.1026,0.1264,0.1573,0.081,0.1185,0.1199,0.0357,0.1311,0.0224,0.081,0.0241,50,female,1,1
45,uniform,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.298,0.597,0.0117,0.0117,37,female,1,1
46,uniform,0.0053,0.0699,0.0668,0.0637,0.0595,0.4946,0.0593,0.0572,0.0624,0.0559,0.0053,25,female,1,1
47,uniform,0,0.0485,0.0668,0.0851,0.1265,0.233,0.2325,0.1117,0.0958,0,0,20,female,1,1
48,uniform,0.0033,0.0252,0.0647,0.1759,0.1723,0.174,0.1702,0.0697,0.0697,0.0697,0.0052,33,female,1,1
49,uniform,0.1284,0.0382,0.0765,0.0664,0.0367,0.1672,0.0984,0.0555,0.086,0.1467,0.1,40,female,1,1
50,uniform,0.031,0.031,0.0539,0.0521,0.1107,0.109,0.4882,0.031,0.031,0.031,0.031,24,female,1,1
51,uniform,0.0748,0.0748,0.0748,0.0748,0.0748,0.0748,0.2539,0.0748,0.0748,0.0748,0.0731,20,female,1,1
